organ_id,organ_profile_baseline_score,organ_structural_score,organ_operational_score,organ_trust_score,organ_readiness_score,capped_by
ASTRONOMICON,100.0,100.0,63.0,10.0,64.55,[]
ADMINISTRATUM,100.0,100.0,49.0,10.0,59.65,[]
DOCTRINARIUM,100.0,100.0,15.0,10.0,47.75,[]
MECHANICUS,100.0,100.0,30.0,35.0,59.25,[]
INQUISITION,100.0,100.0,49.0,35.0,65.0,"[{""reason"": ""operational<50"", ""cap"": 65.0}]"
CUSTODES,100.0,100.0,15.0,10.0,47.75,[]
STRATEGIUM,100.0,100.0,15.0,10.0,47.75,[]
SCHOLA_IMPERIALIS,100.0,100.0,15.0,10.0,47.75,[]
OFFICIO_AGENTIS,100.0,100.0,43.0,10.0,57.55,[]
